[9.92085172],[2.51280264],[10.74267269],[-1.20898508],[11.17300099],[5.42677307],[7.96604086]
[1.21366161],[3.81228556],[-0.06719202],[0.05880692],[-0.1771654],[-1.68548103],[2.66428876]
[-0.20544599],[3.01709477],[-0.94757822],[-0.50714417],[-0.31044549],[0.18544619],[1.27602394]
[0.83668927],[3.56569468],[0.75359671],[0.00871639],[-0.48770888],[0.40297831],[0.89300496]
[-0.854213],[2.97379194],[0.17342025],[-0.56773494],[-1.17473525],[0.35620426],[-0.92789801]
[-0.77334882],[1.00907949],[-1.49420287],[-0.08849814],[-0.80026948],[-0.75099709],[-0.49258191]
[-1.02816418],[0.25455247],[-0.20080996],[-0.06006693],[-0.81845384],[-0.10376802],[-0.12187078]
[-0.85350707],[-1.04428615],[2.81825258],[-0.44676599],[-0.97247389],[-0.19235815],[-0.52651221]
[-0.20579693],[-0.6583381],[3.66917733],[0.07082037],[-0.92601333],[0.09467882],[-0.02455504]
[-0.24184718],[0.71553155],[1.33592468],[-0.24009528],[-0.62107343],[-0.23648638],[-0.19504892]
[-0.3410096],[1.49828353],[0.54893226],[-0.18060796],[-0.922446],[1.3504037],[-1.13630379]
[-0.60786003],[0.60902016],[0.09724274],[0.21586391],[-0.49069568],[-0.22207174],[-0.46360415]
[0.41338698],[1.03958004],[-0.76057961],[-0.14225825],[-1.03282155],[0.22402057],[-0.90514272]
[0.1550715],[0.8330432],[0.62488344],[-0.55787745],[-1.14492997],[0.19697071],[-1.21221148]
[-0.92264718],[-0.11042303],[1.04827986],[-0.01188107],[-1.1413817],[-0.39996202],[-0.01730011]
[-1.0665281],[0.796799],[1.7679917],[0.25677688],[-0.89238767],[0.20916353],[-1.07942526]
[-1.08010206],[1.88450222],[0.5352013],[-0.08088659],[-0.30103226],[0.05180062],[-0.40261144]
[-0.99569023],[1.15907826],[0.59963955],[0.14282552],[-0.84148108],[0.04792648],[-0.15756478]
[-0.66939024],[0.6855058],[0.58842676],[-1.05913154],[-0.61485055],[0.64722404],[-1.00438663]
[-0.80989778],[0.52486634],[1.76360894],[-0.10575328],[-1.03480343],[-0.50699511],[-0.94422037]
[0.43235099],[-1.16346558],[0.71021341],[0.20920689],[0.15673718],[0.37501085],[0.06713009]
[1.0615728],[-1.74511201],[-0.37056203],[0.15743048],[0.33332855],[0.53511248],[-1.15372116]
[1.54351866],[-0.48328739],[0.5487701],[0.01638503],[-0.06468289],[0.07514851],[-0.04864353]
[-0.451152],[0.50793867],[-1.09000323],[-0.54856475],[0.0531215],[0.07579988],[0.69956327]
[-0.86242363],[-1.04913263],[0.33255334],[0.08649935],[-0.69268119],[0.2706163],[-0.13599981]
