Sampling times,Time(us),A-phase current,B-phase current,C-phase current,Neutral current,A-phase voltege,B-phase voltege,C-phase voltege
1,0,1098.6,1252.47,1034.757,1125.428,1806,2795,1762
2,244,1085.669,1263.549,1036.955,1125.428,1773,2788,1795
3,488,1075.548,1270.196,1040.252,1125.428,1740,2778,1828
4,732,1067.677,1275.181,1044.098,1125.428,1706,2767,1862
5,976,1061.493,1275.735,1050.693,1125.428,1676,2757,1890
6,1220,1055.87,1269.642,1060.035,1125.428,1650,2739,1924
7,1464,1051.373,1260.225,1073.773,1125.428,1623,2713,1960
8,1708,1047.437,1249.146,1089.709,1125.428,1596,2688,1998
9,1952,1042.377,1241.945,1102.898,1125.428,1570,2662,2036
10,2196,1038.441,1236.405,1111.69,1125.428,1548,2637,2073
11,2440,1035.068,1231.974,1119.383,1125.428,1531,2611,2104
12,2684,1032.257,1226.434,1127.626,1125.428,1518,2574,2139
13,2928,1027.197,1222.557,1136.968,1125.428,1512,2535,2170
14,3172,1018.201,1217.571,1151.256,1125.428,1508,2493,2200
15,3416,1006.956,1213.14,1166.093,1125.428,1509,2448,2231
16,3660,996.836,1211.478,1178.732,1125.428,1515,2402,2258
17,3904,989.527,1209.816,1187.525,1125.428,1525,2355,2284
18,4148,985.029,1205.384,1196.317,1125.428,1533,2304,2315
19,4392,984.467,1197.075,1203.461,1124.879,1544,2252,2338
20,4636,990.089,1184.888,1211.154,1125.428,1564,2196,2361
21,4880,1002.458,1169.378,1214.451,1125.428,1585,2137,2388
22,5124,1012.579,1156.637,1217.199,1125.428,1608,2076,2411
23,5368,1020.45,1146.666,1221.046,1125.428,1630,2020,2436
24,5612,1024.385,1138.911,1223.793,1125.428,1653,1966,2456
25,5856,1030.57,1128.386,1227.64,1125.428,1677,1915,2469
26,6100,1036.755,1119.523,1231.487,1125.428,1706,1867,2480
27,6344,1041.252,1107.89,1236.982,1125.428,1742,1820,2485
28,6588,1046.312,1091.826,1248.522,1125.428,1779,1772,2489
29,6832,1050.248,1077.423,1259.512,1125.428,1818,1728,2488
30,7076,1053.059,1068.006,1267.755,1125.978,1860,1690,2485
31,7320,1055.308,1060.251,1272.701,1125.428,1900,1648,2482
32,7564,1060.368,1053.603,1274.899,1125.978,1941,1608,2476
33,7808,1071.051,1046.402,1272.701,1126.527,1984,1573,2468
34,8052,1084.544,1040.863,1265.008,1126.527,2031,1542,2455
35,8296,1100.287,1037.539,1252.369,1126.527,2079,1507,2441
36,8540,1114.342,1033.661,1243.027,1126.527,2127,1474,2427
37,8784,1124.463,1029.23,1236.982,1126.527,2174,1444,2412
38,9028,1132.896,1026.46,1230.937,1126.527,2216,1417,2397
39,9272,1142.454,1024.244,1224.343,1126.527,2256,1400,2379
40,9516,1150.887,1019.813,1218.848,1125.978,2297,1389,2356
41,9760,1164.943,1010.95,1213.902,1125.978,2338,1380,2330
42,10004,1179.561,1000.425,1209.506,1125.978,2376,1381,2300
43,10248,1192.493,989.9,1206.758,1125.978,2410,1388,2267
44,10492,1202.613,982.698,1204.01,1125.978,2443,1396,2234
45,10736,1209.922,978.267,1200.713,1125.978,2474,1405,2201
46,10980,1216.669,978.821,1195.218,1126.527,2504,1419,2172
47,11224,1222.853,983.806,1183.678,1126.527,2532,1436,2140
48,11468,1226.226,994.331,1168.841,1125.978,2559,1462,2102
49,11712,1230.162,1004.856,1152.904,1125.428,2586,1489,2065
50,11956,1236.347,1012.611,1140.265,1125.978,2612,1513,2025
51,12200,1239.72,1017.043,1132.572,1125.978,2635,1537,1992
52,12444,1243.656,1022.582,1123.78,1125.978,2652,1566,1956
53,12688,1245.905,1027.014,1116.086,1125.978,2662,1603,1924
54,12932,1252.089,1032,1105.645,1125.978,2671,1642,1894
55,13176,1262.209,1036.985,1090.808,1125.978,2674,1685,1858
56,13420,1272.892,1040.309,1076.52,1125.978,2672,1730,1832
57,13664,1283.012,1041.971,1063.332,1125.428,2663,1776,1805
58,13908,1289.759,1044.74,1055.089,1125.978,2656,1825,1775
59,14152,1293.694,1048.064,1047.945,1125.978,2647,1874,1751
60,14396,1293.694,1057.481,1039.153,1126.527,2633,1925,1721
61,14640,1286.385,1070.222,1032.558,1125.978,2616,1984,1700
62,14884,1275.703,1085.178,1028.162,1125.978,2593,2042,1674
63,15128,1264.458,1098.473,1025.964,1125.978,2570,2102,1650
64,15372,1257.711,1108.444,1023.216,1125.978,2549,2160,1630
65,15616,1252.089,1115.645,1020.469,1125.428,2527,2211,1606
66,15860,1246.467,1125.616,1016.073,1125.428,2503,2261,1594
67,16104,1241.407,1133.925,1012.775,1125.428,2475,2308,1584
68,16348,1235.784,1146.666,1005.632,1125.428,2438,2358,1576
69,16592,1231.849,1162.731,994.092,1125.978,2400,2405,1578
70,16836,1227.913,1176.579,984.2,1125.978,2361,2447,1575
71,17080,1225.664,1187.104,975.957,1125.978,2321,2488,1579
72,17324,1222.853,1193.751,971.012,1125.428,2276,2529,1584
73,17568,1217.231,1201.507,967.714,1125.428,2236,2566,1588
74,17812,1207.111,1207.6,972.111,1125.428,2194,2602,1597
75,18056,1191.368,1213.14,980.353,1124.879,2147,2637,1609
76,18300,1175.626,1216.463,991.894,1124.879,2097,2670,1621
77,18544,1163.257,1220.895,1002.335,1125.428,2049,2703,1641
78,18788,1152.574,1224.772,1006.731,1124.879,2005,2734,1652
79,19032,1144.141,1226.988,1013.875,1124.879,1960,2759,1667
80,19276,1134.583,1229.758,1020.469,1124.879,1920,2776,1689
81,19520,1124.463,1234.743,1025.415,1124.879,1880,2787,1709
82,19764,1111.531,1244.16,1030.91,1125.428,1838,2795,1737
83,20008,1096.913,1254.685,1034.757,1125.428,1802,2794,1767
84,20252,1084.544,1265.21,1036.955,1125.428,1770,2788,1798
85,20496,1074.424,1272.412,1039.702,1125.428,1733,2777,1833
86,20740,1067.115,1276.289,1043.549,1125.428,1702,2769,1865
